timestamp,热总能量计累计热量,总冷累计能量（kWh）
2018-01-01T15:03:20Z,15093.03,2726.25
2018-01-01T15:05:00Z,15093.119999999999,2726.25
2018-01-01T15:08:20Z,15093.21,2726.25
2018-01-01T15:10:00Z,15093.294999999998,2726.25
2018-01-01T15:13:20Z,15093.38,2726.25
2018-01-01T15:15:00Z,15093.47,2726.25
2018-01-01T15:18:20Z,15093.56,2726.25
2018-01-01T15:20:00Z,15093.654999999999,2726.25
2018-01-01T15:23:20Z,15093.75,2726.25
2018-01-01T15:25:00Z,15093.84,2726.25
2018-01-01T15:28:20Z,15093.93,2726.25
2018-01-01T15:30:00Z,15094.02,2726.25
2018-01-01T15:33:20Z,15094.11,2726.25
2018-01-01T15:35:00Z,15094.2,2726.25
2018-01-01T15:38:20Z,15094.29,2726.25
2018-01-01T15:40:00Z,15094.385,2726.25
2018-01-01T15:43:20Z,15094.48,2726.25
2018-01-01T15:45:00Z,15094.564999999999,2726.25
2018-01-01T15:48:20Z,15094.65,2726.25
2018-01-01T15:50:00Z,15094.74,2726.25
2018-01-01T15:53:20Z,15094.83,2726.25
2018-01-01T15:55:00Z,15094.925,2726.25
2018-01-01T15:58:20Z,15095.02,2726.25
2018-01-01T16:00:00Z,15095.11,2726.25
2018-01-01T16:03:20Z,15095.2,2726.25
2018-01-01T16:05:00Z,15095.295,2726.25
2018-01-01T16:08:20Z,15095.39,2726.25
2018-01-01T16:10:00Z,15095.47,2726.25
2018-01-01T16:13:20Z,15095.55,2726.25
2018-01-01T16:15:00Z,15095.64,2726.25
2018-01-01T16:18:20Z,15095.73,2726.25
2018-01-01T16:20:00Z,15095.825,2726.25
2018-01-01T16:23:20Z,15095.92,2726.25
2018-01-01T16:25:00Z,15096.015,2726.25
2018-01-01T16:28:20Z,15096.11,2726.25
2018-01-01T16:30:00Z,15096.2,2726.25
2018-01-01T16:33:20Z,15096.29,2726.25
2018-01-01T16:35:00Z,15096.37,2726.25
2018-01-01T16:38:20Z,15096.45,2726.25
2018-01-01T16:40:00Z,15096.555,2726.25
2018-01-01T16:43:20Z,15096.66,2726.25
