timestamp,运行时间,平均速度,油压,冷却剂温度,电池电压,总网有功电能,总有功功率,总无功功率,总视在功率,运行
2018-01-24T19:33:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T19:38:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T19:43:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T19:48:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T19:53:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T19:58:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T20:03:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T20:08:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T20:13:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T20:18:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T20:23:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T20:28:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T20:33:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T20:38:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T20:43:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T20:48:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T20:53:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T20:58:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T21:03:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T21:08:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T21:13:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T21:18:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T21:23:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T21:28:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T21:33:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T21:38:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T21:43:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T21:48:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T21:53:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T21:58:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T22:03:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T22:08:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T22:13:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T22:18:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T22:23:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T22:28:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T22:33:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T22:38:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T22:43:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T22:48:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T22:53:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T22:58:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T23:03:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T23:08:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T23:13:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T23:18:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T23:23:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T23:28:50Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T23:33:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T23:38:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T23:43:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T23:48:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T23:53:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T23:58:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-25T00:03:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-25T00:08:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-25T00:13:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-25T00:18:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-25T00:23:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-25T00:28:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-25T00:33:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-25T00:38:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-25T00:43:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-25T00:48:12Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
